payload_length,digit_ratio,special_char_count,amount,amount_missing,merchant_name_missing,merchant_name_length,generic_merchant_name,upi_id_length,upi_handle_length,has_embedded_url,non_standard_param_count,suspicious_vpa_pattern,dataset_source,label
70,0.1143,11,1107.34,0,0,19,0,16,10,0,0,0,SYNTHETIC_UPI_V1,1
58,0.0345,11,0.0,1,0,12,0,18,10,0,0,0,SYNTHETIC_UPI_V1,1
67,0.1194,11,1054.97,0,0,19,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
57,0.1228,11,247.89,0,0,12,0,11,5,0,0,0,SYNTHETIC_UPI_V1,1
65,0.1077,11,511.53,0,0,19,0,12,5,0,0,0,SYNTHETIC_UPI_V1,1
62,0.129,11,1212.62,0,0,11,0,16,10,0,0,0,SYNTHETIC_UPI_V1,1
67,0.1194,11,1245.81,0,0,14,0,18,8,0,0,0,SYNTHETIC_UPI_V1,1
58,0.1379,11,1161.87,0,0,12,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
66,0.1212,11,685.58,0,0,14,0,18,10,0,0,0,SYNTHETIC_UPI_V1,1
63,0.127,11,1055.71,0,0,19,0,9,3,0,0,0,SYNTHETIC_UPI_V1,1
68,0.1176,11,374.77,0,0,16,0,18,10,0,0,0,SYNTHETIC_UPI_V1,1
61,0.1311,11,1166.24,0,0,11,0,15,8,0,0,0,SYNTHETIC_UPI_V1,1
58,0.1379,11,108.62,0,0,11,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
57,0.1228,11,967.85,0,0,10,0,13,3,0,0,0,SYNTHETIC_UPI_V1,1
57,0.1228,11,648.37,0,0,11,0,12,5,0,0,0,SYNTHETIC_UPI_V1,1
52,0.0385,11,0.0,1,0,12,0,12,5,0,0,0,SYNTHETIC_UPI_V1,1
65,0.1231,11,1190.2,0,0,16,0,15,7,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1186,11,707.39,0,0,10,0,15,5,0,0,0,SYNTHETIC_UPI_V1,1
57,0.1404,11,180.68,0,0,12,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
50,0.06,11,0.0,1,0,11,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1356,11,1145.32,0,0,11,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
63,0.127,11,766.42,0,0,11,0,18,10,0,0,0,SYNTHETIC_UPI_V1,1
58,0.1207,11,738.02,0,0,12,0,12,5,0,0,0,SYNTHETIC_UPI_V1,1
62,0.1129,11,368.9,0,0,11,0,18,10,0,0,0,SYNTHETIC_UPI_V1,1
68,0.1029,11,803.73,0,0,14,0,20,10,0,0,0,SYNTHETIC_UPI_V1,1
66,0.1212,11,1309.93,0,0,16,0,15,5,0,0,0,SYNTHETIC_UPI_V1,1
65,0.1077,11,604.5,0,0,19,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
60,0.1,11,105.4,0,0,14,0,13,3,0,0,0,SYNTHETIC_UPI_V1,1
61,0.0328,11,0.0,1,0,19,0,14,7,0,0,0,SYNTHETIC_UPI_V1,1
54,0.037,11,0.0,1,0,11,0,15,7,0,0,0,SYNTHETIC_UPI_V1,1
68,0.1029,11,1087.8,0,0,19,0,15,5,0,0,0,SYNTHETIC_UPI_V1,1
56,0.0357,11,0.0,1,0,10,0,18,8,0,0,0,SYNTHETIC_UPI_V1,1
63,0.127,11,705.87,0,0,11,0,18,10,0,0,0,SYNTHETIC_UPI_V1,1
57,0.0526,11,0.0,1,0,14,0,15,7,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1356,11,293.41,0,0,14,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
61,0.1311,11,1312.98,0,0,11,0,15,8,0,0,0,SYNTHETIC_UPI_V1,1
64,0.1094,11,815.48,0,0,12,0,18,10,0,0,0,SYNTHETIC_UPI_V1,1
62,0.0484,11,0.0,1,0,19,0,15,7,0,0,0,SYNTHETIC_UPI_V1,1
58,0.0345,11,0.0,1,0,12,0,18,8,0,0,0,SYNTHETIC_UPI_V1,1
61,0.1475,11,1179.84,0,0,11,0,15,7,0,0,0,SYNTHETIC_UPI_V1,1
57,0.0351,11,0.0,1,0,16,0,13,3,0,0,0,SYNTHETIC_UPI_V1,1
58,0.1207,11,95.18,0,0,12,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
61,0.1148,11,129.37,0,0,12,0,15,8,0,0,0,SYNTHETIC_UPI_V1,1
67,0.1194,11,1412.98,0,0,19,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
61,0.1148,11,879.67,0,0,14,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
64,0.125,11,478.13,0,0,19,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
56,0.1429,11,1130.28,0,0,12,0,9,3,0,0,0,SYNTHETIC_UPI_V1,1
66,0.1061,11,763.77,0,0,14,0,18,10,0,0,0,SYNTHETIC_UPI_V1,1
60,0.1167,11,560.6,0,0,14,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
57,0.1228,11,836.36,0,0,12,0,11,5,0,0,0,SYNTHETIC_UPI_V1,1
69,0.1304,11,1335.67,0,0,16,0,18,10,0,0,0,SYNTHETIC_UPI_V1,1
57,0.1228,11,955.01,0,0,11,0,12,5,0,0,0,SYNTHETIC_UPI_V1,1
49,0.0408,11,0.0,1,0,12,0,9,3,0,0,0,SYNTHETIC_UPI_V1,1
53,0.0566,11,0.0,1,0,12,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
52,0.0577,11,0.0,1,0,11,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
58,0.0345,11,0.0,1,0,12,0,18,8,0,0,0,SYNTHETIC_UPI_V1,1
60,0.1,11,72.32,0,0,16,0,11,5,0,0,0,SYNTHETIC_UPI_V1,1
57,0.1404,11,323.01,0,0,12,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1525,11,1327.36,0,0,11,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
63,0.127,11,362.74,0,0,16,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
62,0.1129,11,46.93,0,0,16,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
56,0.1607,11,1297.46,0,0,10,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
57,0.1228,11,1289.3,0,0,10,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
61,0.1311,11,1195.06,0,0,11,0,15,5,0,0,0,SYNTHETIC_UPI_V1,1
57,0.1404,11,1297.89,0,0,10,0,12,5,0,0,0,SYNTHETIC_UPI_V1,1
58,0.1207,11,181.86,0,0,11,0,13,3,0,0,0,SYNTHETIC_UPI_V1,1
49,0.0408,11,0.0,1,0,12,0,9,3,0,0,0,SYNTHETIC_UPI_V1,1
55,0.1273,11,772.02,0,0,10,0,11,5,0,0,0,SYNTHETIC_UPI_V1,1
67,0.1343,11,1066.09,0,0,19,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
60,0.1333,11,1423.82,0,0,11,0,14,7,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1356,11,457.48,0,0,14,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
56,0.1429,11,450.53,0,0,11,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
65,0.1077,11,458.42,0,0,16,0,15,5,0,0,0,SYNTHETIC_UPI_V1,1
58,0.1207,11,913.93,0,0,10,0,14,7,0,0,0,SYNTHETIC_UPI_V1,1
67,0.1194,11,1192.67,0,0,19,0,13,3,0,0,0,SYNTHETIC_UPI_V1,1
58,0.1379,11,953.08,0,0,11,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
54,0.1111,11,306.7,0,0,11,0,10,3,0,0,0,SYNTHETIC_UPI_V1,1
66,0.1212,11,1330.34,0,0,14,0,17,7,0,0,0,SYNTHETIC_UPI_V1,1
57,0.1404,11,373.54,0,0,10,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
63,0.127,11,336.07,0,0,14,0,15,7,0,0,0,SYNTHETIC_UPI_V1,1
64,0.125,11,1204.11,0,0,14,0,15,8,0,0,0,SYNTHETIC_UPI_V1,1
58,0.1552,11,1081.72,0,0,12,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
60,0.15,11,1118.05,0,0,12,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
60,0.1167,11,786.74,0,0,11,0,15,8,0,0,0,SYNTHETIC_UPI_V1,1
58,0.1207,11,510.41,0,0,11,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
62,0.129,11,1062.56,0,0,10,0,17,10,0,0,0,SYNTHETIC_UPI_V1,1
62,0.1129,11,318.18,0,0,12,0,16,10,0,0,0,SYNTHETIC_UPI_V1,1
58,0.1379,11,1414.69,0,0,10,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
55,0.1455,11,1104.6,0,0,10,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
54,0.1111,11,589.4,0,0,10,0,11,5,0,0,0,SYNTHETIC_UPI_V1,1
60,0.15,11,1471.28,0,0,12,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
55,0.0545,11,0.0,1,0,12,0,15,7,0,0,0,SYNTHETIC_UPI_V1,1
60,0.05,11,0.0,1,0,16,0,16,5,0,0,0,SYNTHETIC_UPI_V1,1
62,0.1452,11,1320.66,0,0,11,0,16,5,0,0,0,SYNTHETIC_UPI_V1,1
55,0.1455,11,132.04,0,0,10,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
61,0.1311,11,531.44,0,0,12,0,15,7,0,0,0,SYNTHETIC_UPI_V1,1
65,0.1385,11,1424.92,0,0,12,0,18,10,0,0,0,SYNTHETIC_UPI_V1,1
63,0.127,11,715.61,0,0,16,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
65,0.1385,11,1152.68,0,0,12,0,18,10,0,0,0,SYNTHETIC_UPI_V1,1
61,0.1311,11,254.01,0,0,14,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
58,0.1552,11,1362.96,0,0,11,0,12,3,0,0,0,SYNTHETIC_UPI_V1,1
62,0.1452,11,1247.55,0,0,14,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
60,0.1333,11,853.24,0,0,14,0,12,5,0,0,0,SYNTHETIC_UPI_V1,1
